Date,A_SB,A_NB,A_Total,B_SB,B_NB,B_Total,H_SB,H_NB,H_Total,A_Day,H_Day,A_WD,H_WD,A_M,H_M,A_DM,H_DM,Year,F_SB,F_NB,F_Total,,
6/18/2019,4402,4455,8857,4026,3706,7732,3124,3075,6199,2,2,0,0,6,6,18,19,2019,4402,4455,8857,,
6/19/2019,4131,3469,7600,3933,3529,7462,3052,2928,5980,3,3,0,0,6,6,19,20,2019,4131,3469,7600,,
6/20/2019,5533,4331,9864,4628,3208,7836,3591,2662,6253,4,4,0,0,6,6,20,21,2019,5533,4331,9864,,
6/21/2019,4729,4524,9253,4664,4024,8688,3619,3339,6958,5,5,1,1,6,6,21,22,2019,4729,4524,9253,,
6/22/2019,4556,5343,9899,4376,4728,9104,3396,3923,7319,6,6,1,1,6,6,22,23,2019,4556,5343,9899,,
6/23/2019,4216,5406,9622,4112,4837,8949,3191,4013,7204,7,7,1,1,6,6,23,24,2019,4216,5406,9622,,
6/24/2019,3685,5245,8930,3268,4387,7655,2536,3640,6176,1,1,0,0,6,6,24,25,2019,3685,5245,8930,,
6/25/2019,4084,5069,9153,3528,4374,7902,2738,3629,6367,2,2,0,0,6,6,25,26,2019,4084,5069,9153,,
6/26/2019,3969,4399,8368,3809,4168,7977,2956,3458,6414,3,3,0,0,6,6,26,27,2019,3969,4399,8368,,
6/27/2019,5095,4866,9961,4722,3884,8606,3664,3223,6887,4,4,0,0,6,6,27,28,2019,5095,4866,9961,,
6/28/2019,4507,5016,9523,4836,4585,9421,3753,3804,7557,5,5,1,1,6,6,28,29,2019,4507,5016,9523,,
6/29/2019,4671,6058,10729,5053,4464,9517,3921,4368,8289,6,6,1,1,6,6,29,30,2019,4671,6058,10729,,
6/30/2019,4082,6158,10240,3336,4283,7619,2865,4776,7641,7,7,1,1,6,7,30,1,2019,4082,6158,10240,,
7/1/2019,3389,5589,8978,2890,4921,7811,2243,4079,6322,1,1,0,0,7,7,1,2,2019,3389,5589,8978,,
7/2/2019,4241,5242,9483,3892,5148,9040,3021,4267,7288,2,2,0,0,7,7,2,3,2019,4241,5242,9483,,
7/3/2019,4918,5001,9919,3841,4986,8827,2981,4133,7114,3,3,0,0,7,7,3,4,2019,4918,5001,9919,,
7/4/2019,5483,4503,9986,3772,4998,8771,2928,4143,7071,4,4,0,0,7,7,4,5,2019,5483,4503,9986,,
7/5/2019,3572,5255,8827,3656,5178,8834,2838,4292,7130,5,5,1,1,7,7,5,6,2019,3572,5255,8827,,
7/6/2019,3647,5943,9590,3478,5966,9445,2700,4945,7645,6,6,1,1,7,7,6,7,2019,3647,5943,9590,,
7/7/2019,3420,7359,10779,3493,6087,9579,2711,5045,7756,7,7,1,1,7,7,7,8,2019,3420,7359,10779,,
7/8/2019,3018,6255,9273,2895,5879,8774,2247,4873,7120,1,1,0,0,7,7,8,9,2019,3018,6255,9273,,
7/9/2019,3233,5537,8770,3341,5055,8396,2593,4190,6783,2,2,0,0,7,7,9,10,2019,3233,5537,8770,,
7/10/2019,3165,4543,7708,3686,4668,8354,2861,3869,6730,3,3,0,0,7,7,10,11,2019,3165,4543,7708,,
7/11/2019,4129,4778,8907,4166,5370,9536,3234,4451,7685,4,4,0,0,7,7,11,12,2019,4129,4778,8907,,
7/12/2019,3985,5135,9120,4201,5120,9322,3261,4244,7505,5,5,1,1,7,7,12,13,2019,3985,5135,9120,,
7/13/2019,3822,5710,9532,3640,5979,9618,2825,4729,7554,6,6,1,1,7,7,13,14,2019,3822,5710,9532,,
7/14/2019,3478,5709,9187,3744,5923,9667,2906,4683,7589,7,7,1,1,7,7,14,15,2019,3478,5709,9187,,
7/15/2019,3021,5213,8234,2912,5111,8022,2260,4236,6496,1,1,0,0,7,7,15,16,2019,3021,5213,8234,,
7/16/2019,3450,5283,8733,3373,4710,8083,2618,3904,6522,2,2,0,0,7,7,16,17,2019,3450,5283,8733,,
7/17/2019,3705,4860,8565,3873,4982,8854,3006,4129,7135,3,3,0,0,7,7,17,18,2019,3705,4860,8565,,
7/18/2019,4864,5037,9901,4384,5450,9834,3403,4291,7694,4,4,0,0,7,7,18,19,2019,4864,5037,9901,,
7/19/2019,4426,4906,9332,4553,5223,9776,3534,4103,7637,5,5,1,1,7,7,19,20,2019,4426,4906,9332,,
7/20/2019,4311,5702,10013,4480,5454,9934,3477,4521,7998,6,6,1,1,7,7,20,21,2019,4311,5702,10013,,
7/21/2019,4246,5588,9834,4303,5450,9753,3340,4517,7857,7,7,1,1,7,7,21,22,2019,4246,5588,9834,,
7/22/2019,3840,5467,9307,3803,4766,8569,2952,3950,6902,1,1,0,0,7,7,22,23,2019,3840,5467,9307,,
7/23/2019,4036,4863,8899,3990,4586,8576,3097,3801,6898,2,2,0,0,7,7,23,24,2019,4036,4863,8899,,
7/24/2019,4045,4413,8458,4146,4160,8306,3218,3448,6666,3,3,0,0,7,7,24,25,2019,4045,4413,8458,,
7/25/2019,5027,4729,9756,4432,4804,9236,3440,3982,7422,4,4,0,0,7,7,25,26,2019,5027,4729,9756,,
7/26/2019,4761,4675,9436,4661,5177,9838,3618,4291,7909,5,5,1,1,7,7,26,27,2019,4761,4675,9436,,
7/27/2019,4527,5550,10077,4628,5307,9935,3678,4399,8077,6,6,1,1,7,7,27,28,2019,4527,5550,10077,,
